"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1.1. Forest Formation","449286075.7651895","448852066.3145504","446440379.78613216","443747271.75969064","441489953.36952376","440281437.43239975","438670043.74124587","435996115.69027203","433493124.07167804","431860529.02453345","429166810.94733447","426677908.8019818","424635935.619713","422173951.4355164","419566696.042245","417723633.65489554","415775403.21997243","413500041.0902671","410689879.7828043","407872486.9307528","405868419.7810536","404223612.93919367","403180000.6561287","402263216.6951304","401737767.3555485","401490141.04765207","401124546.26687586","401078489.4225417","400838412.43169755","399988430.14647573","399156234.95658594","397897842.2839375","397386378.8960973","396853178.2090083","396853958.34852886","395832373.20434016"
"1.2. Savanna Formation","131159446.98313636","132364110.57858667","131800198.02097389","130714055.39091052","130226017.8876588","129495844.61734684","128575496.95667888","127635289.09698236","126483713.12258823","126202609.93150121","126151645.07273547","125609472.87351403","125050553.1464275","124220300.06014788","123168349.9188876","122748976.57267183","121760514.18863447","120601129.64307596","119644381.92376438","118925566.52116056","118161754.84904426","118242641.12733528","118377509.28033839","118016459.52806354","117495879.94313799","117092642.10010543","116955991.7418808","116188340.78805166","115640724.62877287","114749944.17108321","114150282.60325247","114381834.66630097","113992445.30524823","113466211.3814503","113211144.11369666","110344611.27591485"
"1.3. Mangrove","947996.4083252792","956480.6665825748","955634.6701393302","964602.1372476894","967106.0849000487","975460.0445233296","981584.3966969202","980534.2349456403","982062.0696258321","984213.5615444961","987997.3688125798","991745.9986675942","990878.1991438924","991288.3466979386","998956.3261770292","1005338.8452375695","1009760.1780908367","1013433.2479360763","1014620.015538696","1013414.9790483105","1010004.624794617","1009230.6205564201","1005632.9328370873","1007026.9468204603","1011712.0656990381","1012911.8487231408","1011834.7692762311","1005748.4202441504","1005081.7200646157","1007430.3915398563","1002580.1982125251","997762.8244893502","988810.4898659647","988681.9646384796","990265.429195276","982380.9204776599"
"1.4. Wooded Restinga","610654.0183328657","605928.1887906177","598227.7833610488","591493.6135657501","585225.1650289964","579236.779512909","572242.0922205629","566605.6443241229","564797.2122580549","562890.8394766818","561680.6678445446","557762.0154119029","555881.2509934786","551205.3589097264","544791.4941501261","545071.4271664564","541715.7752560744","542727.705809471","543110.0961993411","542240.4210096356","541892.9080724402","544589.3295576343","544744.1126049287","546300.8101895368","545425.4258356238","544111.2559619946","545715.0318823416","545790.138459047","547940.14878207","545570.8216008574","547056.3526245547","545609.5227924905","547434.250233821","546715.6145903055","550475.9065227165","552470.7131610707"
"3. Farming","181862636.86412936","180921369.88614514","184724927.22342137","188604610.634721","191561398.3949658","194018182.21126318","197008941.38474768","200700166.96125653","204424840.6022991","206240807.51604295","209042144.63779113","212239713.7772177","215087045.90500814","218432717.07012677","222003273.1568617","224739218.86610162","227785945.73603326","231070224.54077712","235052742.60346586","238767630.78420532","241724342.53077394","243696069.9093998","244787662.32722786","245889167.00375274","246838884.4482832","247959920.4867467","248801635.16695905","249482864.96221405","250555159.49780264","252732833.0817022","254374776.701203","255784136.8637859","256909107.55408338","258219144.7962909","258420553.3647083","263045117.9871601"
"3.2. Agriculture","19211231.241834912","19238867.60731622","20620447.831738424","21828822.130616777","23028457.836715233","24218161.793426283","25487010.34958051","25830345.073773492","26367530.347997367","26646053.21364053","26873195.827471655","27176387.077544294","27250445.065135173","27301016.18609639","28116076.372304127","28986011.381350547","29753876.33029132","30253422.9182657","30309414.488504846","32473376.495304976","34681186.92821731","36936985.383965224","38674680.03009472","40259608.575612746","41574951.725182384","42305445.61676927","43280317.08289888","44582427.69621031","46617290.55209365","49020627.38961633","50548431.43680774","51637310.48687485","51977006.339040875","52737327.44909539","54371932.48381911","55719442.879491515"
"3.2.1. Temporary Crops","18555757.627859626","18574880.947924152","20072045.608667187","21327489.591960233","22547147.583413012","23788986.969304577","25099136.245769802","25462197.12952851","25979384.341157366","26219434.782271516","26429572.79509859","26724980.532757096","26783107.931631997","26805235.872331604","27445614.587086312","28189689.527386595","28889848.6738095","29376699.30882879","29443922.529452033","31562832.619678803","33745814.17678503","35958863.5140675","37652826.58117804","39186252.55055619","40448739.10240303","41131375.18986724","41996362.99977677","43205369.589686565","45096700.295826964","47494816.04051078","48943753.05987109","49992858.744587146","50310793.38276769","51045435.18163776","52636839.91154799","53954048.54879309"
"3.2.1.1. Soybean","3000666.5664535905","3003657.5301528163","3991316.526715873","5050136.530550354","5640400.491190723","5951045.958311528","6077783.585330491","5925104.012393037","6121706.52194403","6211750.9065560065","6321397.46152025","7002381.483279317","7475510.200077493","7839550.083035168","8857550.869339528","11000038.230850097","13384444.017806757","14816290.130905952","15694206.933696533","17162137.3344932","19062611.130145296","19778302.318271723","20032272.124768216","20151056.45878176","20694337.178342123","21858137.91653775","22730570.617993847","22816962.684902295","23667198.283101913","26506646.455866955","28657423.920770753","30321937.695205644","31715496.61952012","32614304.55193893","33689889.376359835","35550450.02669949"
"3.2.1.2. Sugar Cane","2394808.363499922","2417316.139164227","2458804.9205109985","2477778.433107238","2494041.672161944","2513973.136835877","2539181.131508203","2586354.2040272714","2676882.5646263245","2761447.3746898114","2857089.1743021156","3006202.728424345","3108442.5000471636","3170476.2880606675","3263475.544006076","3332290.1880523246","3377331.9005838516","3540733.444590222","3728490.552612411","4033625.441894528","4324970.711853745","4653795.550579139","5396746.409441389","6364027.618070648","7030877.345415989","7343884.007685604","7621424.408229531","8137466.9496526085","8513621.963216485","9113327.869137313","9338626.514898542","9477497.409624163","9331142.276860755","9220036.027432496","9434491.870652322","9359254.681763176"
"3.2.1.3. Rice","671241.6095516937","371843.825130357","513480.7857252851","525114.5429065668","420151.7590606087","277826.76347918645","242039.24379605133","368365.74047000497","537407.8555639276","231412.96537534904","290215.73713983066","318313.54527160514","575353.8841321887","328964.9350397541","623124.3984865105","679234.3301223812","548688.7138405875","534928.3757172503","360176.5553599297","603358.4918327467","638918.6351010788","645231.8824994457","804422.6453272187","697379.1210833812","915010.5824403015","760130.7676221632","629651.1225393193","668650.5587999541","489522.6044823414","821125.6256855336","1029780.686710503","1076511.1134820674","1145109.3194537892","1168054.9356247394","995513.4932688451","1506229.6632134237"
